",1691
"Coomer Place, West Kensington_OLD",1646
"Victoria and Albert Museum, Cromwell Road",1638
"St. John's Wood Church, Regent's Park",1595
"Queensway, Westminster",1546
"Clarges Street, West End",1521
"Harper Road, Borough",1360
"Worship Street, Hackney",1273
"Sugden Road, Battersea",1260
"Russell Gardens, Holland Park",1259
"Walmer Road, Notting Hill",1250
"St Martin's Close, Camden Town",1199
"Allington street, Westminster, SW1E 5EB",1112
"Usk Road, Battersea",1083
"Oval Way, Lambeth",1022
"Clements Road, Bermondsey",987
"Bromley High Street, Bromley",949
"St Mary's Hospital, Westminster",944
"Thessaly Road North, Nine Elms",895
"Upper Richmond Road, East Putney",880
"Halford Road, Fulham",812
"St. Mary and St. Michael Church, Stepney",805
"Central House, Whitechapel",778
Mechanical Workshop Clapham,777
"Harrington Square, Camden Town",740
Mechanical Workshop Penton,724
"Harris Academy, Bermondsey",666
"South Bermondsey Station, Bermondsey",665
"Lansdown Drive, Hackney Central",649
"Ingrave Street, Battersea",639
"Lansdowne Walk, Notting Hill",602
"Wansey Street, Walworth",594
"Chicheley Street, South Bank",589
"Stewart's Road, Nine Elms",572
"Spanish Road, Wandsworth",537
"Ladbroke Grove Central, Notting Hill",526
"Queensway, Paddington",510
"The Blue, Bermondsey",508
"Limburg Road, Clapham Common",481
"St John's Park, Cubitt Town",393
"Coborn Street, Mile End",315
"Exhibition Road, South Kensington",260
Import Dock,146
"Crimscott Street, Bermondsey",133
Pop Up Dock 1,110
"Contact Centre, Southbury House",60
"Cartier Circle, Canary Wharf",58
Pop Up Dock 2,52
"Allington street, Off Victoria Street, Westminster",51
"Monier Road, Newham",36
Monier Road,14
PENTON STREET COMMS TEST TERMINAL _ CONTACT MATT McNULTY,11
LSP1,7
"Blackfriars road, Southwark",5
LSP2,5
One London,4
Electrical Workshop PS,2
"York Way, Camden",1
Canada Water Station,1
